Deutsch;Portugiesisch
abgeben;entregar
allgemeiner Flyer;panfleto geral
An der Seite Bruno Grönings;ao lado de Bruno Gröning
angesprochene Gegenstände;objetos energizados
Arbeitskreis;círculo de trabalho
Aufgabe;tarefa
aufnehmen (z.B. den Heilstrom);absorver (por ex. Heilstrom)
Auswärtige Freunde;amigos sem comunidade
Auswärtige Gemeinschaft;comunidade dos amigos sem comunidade
Beitrag;contribuição
Belastung;distúrbio
Bereich;área
Beschwerden;problemas de saúde
betreuen;orientar
Betreuer;orientador
Bild ;quadro
Bischofsmütze;Mitra do Bispo
bitten;pedir
Bruno Gröning-Freundeskreis;Círculo de Amigos de Bruno Gröning
Bücherliste;lista de livros
Büchertisch;mesa de livros (por doação)
Bücherwart;coordenador da mesa de livros
Bunter Abend;noite colorida
Bunter Nachmittag;tarde colorida
das Böse;o mal
Das Phänomen Bruno Gröning;O Fenômeno Bruno Gröning
Das Phänomen der Heilung;O Fenômeno da Cura
Das Werk;a obra
Datenschutz;proteção de dados
Deutsche Ortsnamen;nomes de lugares alemães
Deutschsprachige Länder (D A CH);países de língua alemã (D A CH)
Dezember Schulungswoche;semana de aprendizagem de dezembro
Die Bitten;os pedidos
die Facebook-Gruppe ;o grupo do Facebook 
die Facebook-Seite;a página do Facebook
Die große Kugel;a grande bola
Direktübertragung;transmissão direta
Dokumentarfilm;filme documentário
DSGVO (Datenschutz Grundverordnung);DSGVO (Regulamento Básico de    Proteção de Dados)
Durchsagen;anúncios
EB Film Arbeit;trabalho com filme EB
EB-Arbeitskreis;círculo de trabalhos do EB (relatos de êxito)
EB-Leiter;coordenador dos relatos de êxito
Einführung;introdução
Einführungsstunde;hora de introdução
Einladung;convite
Einleger;folheto para inserir
Einstellen, sich einstellen ;Einstellen, fazer o Einstellen
Einstellkette;corrente de Einstellen
EK /Enger Kreis;círculo interno - EK
EK Leiter                                            ;coordenador de círculo interno  EK-L
Erfolgsband;caderno dos relatos de êxito
Erfolgsbericht;relatos de êxito
Erfolgsbericht im erzieherischen Bereich;relato de êxito no campo educacional
Erfolgsbericht im finanziellen Bereich;relato de êxito na área financeira
Erfolgsbericht zu Heilung;relatos de êxito sobre curas
Erfolgsbericht zu Hilfe;relatos de êxito sobre ajudas
Erfolgsberichtsarbeit;trabalho dos relatos de êxito
Erfolgsberichtsband;volume de relatos de êxito
Erfolgsberichtsgruppe;grupo de Relatos de êxito
Erkenntnisbericht;relatos sobre insight (reconhecer algo)
erlangen (die Gesundheit);alcançar (a saúde)
Erwachsenen Schulungsbrief (als Überschrift);Caderno de Aprendizagem para Adultos
Erwachsenen Schulungsbrief (im Text);caderno de aprendizagem para adultos
Erzieherin;educadora de jardim-de-infância
Fachbereich;setor
Fachtagung;simpósio
Feierstunde;hora festiva
Film Team;equipe de filmagem
Filmarbeit;trabalho cinematográfico
Filzmoos;Filzmoos
Flyer;panfleto
Fotografie;foto
Fotoseiten;páginas com fotos
Fremdhilfe;ajuda à terceiro
